col,missing_percent
loan_amnt,0.0
delinq_amnt,0.0
year_issued,0.0
policy_code,0.0
initial_list_status,0.0
total_acc,0.0
revol_bal,0.0
pub_rec,0.0
open_acc,0.0
inq_last_6mths,0.0
earliest_cr_line,0.0
delinq_2yrs,0.0
default_status,0.0
home_ownership,0.0
term,0.0
addr_state,0.0
annual_inc,0.0
verification_status,0.0
sub_grade,0.0
purpose,0.0
zip_code,0.0
issue_d,0.0
tax_liens,0.0004245977997342018
chargeoff_within_12_mths,0.002547586798405211
collections_12_mths_ex_med,0.002547586798405211
dti,0.025051270184317905
pub_rec_bankruptcies,0.04458276897209119
revol_util,0.06496346335933287
title,1.8058144422695603
total_bc_limit,2.628260380354709
total_bal_ex_mort,2.628260380354709
mort_acc,2.628260380354709
acc_open_past_24mths,2.628260380354709
num_bc_sats,3.1543370542253846
mths_since_recent_bc,3.637953948122641
bc_open_to_buy,3.7114093674766577
percent_bc_gt_75,3.7385836266596466
bc_util,3.769154668240509
total_il_high_credit_limit,3.9322002233384423
tot_hi_cred_lim,3.9322002233384423
tot_coll_amt,3.9322002233384423
total_rev_hi_lim,3.9322002233384423
num_tl_op_past_12m,3.9322002233384423
num_tl_90g_dpd_24m,3.9322002233384423
num_tl_30dpd,3.9322002233384423
num_rev_accts,3.9322002233384423
num_op_rev_tl,3.9322002233384423
num_bc_tl,3.9322002233384423
num_actv_rev_tl,3.9322002233384423
num_actv_bc_tl,3.9322002233384423
num_accts_ever_120_pd,3.9322002233384423
mo_sin_rcnt_tl,3.9322002233384423
num_il_tl,3.9322002233384423
mo_sin_rcnt_rev_tl_op,3.9326248211381767
mo_sin_old_rev_tl_op,3.9326248211381767
avg_cur_bal,3.934747810136848
pct_tl_nvr_dlq,3.9406921793331264
mo_sin_old_il_acct,6.9701974804366555
emp_length,7.789246636123931
emp_title,8.288573648611353
num_tl_120dpd_2m,8.96750553038634
mths_since_recent_inq,9.655778563755483
